province,latitude,longitude
กรุงเทพมหานคร,13.75653896,100.5550909
กระบี่,8.014196429,98.93319643
กาญจนบุรี,14.23315789,99.43374737
กาฬสินธุ์,16.5899403,103.6133955
กำแพงเพชร,16.36767949,99.6500641
ขอนแก่น,16.35478607,102.5971144
จันทบุรี,12.68344048,102.1143214
ฉะเชิงเทรา,13.68152688,101.1431935
ชลบุรี,13.15496522,101.0667304
ชัยนาท,15.15109434,100.0795094
ชัยภูมิ,15.97548387,101.9370726
ชุมพร,10.33735345,99.18531897
เชียงราย,19.88275,99.91875
เชียงใหม่,18.85669347,98.91724121
ตรัง,7.477913043,99.5570087
ตราด,12.11457407,102.4941111
ตาก,16.84886667,98.83153333
นครนายก,14.18407143,101.1309286
นครปฐม,13.87528302,100.1222358
นครพนม,17.31197895,104.4824211
นครราชสีมา,15.08368421,102.1976842
นครศรีธรรมราช,8.347576471,99.8606
นครสวรรค์,15.67909231,100.1862923
นนทบุรี,13.89219231,100.4318462
นราธิวาส,6.231012987,101.7508312
น่าน,18.87981818,100.8072323
บึงกาฬ,18.15864151,103.6755283
บุรีรัมย์,14.89128571,102.9727672
ปทุมธานี,14.04813333,100.62965
ประจวบคีรีขันธ์,11.88472917,99.66945833
ปราจีนบุรี,14.0006875,101.5345
ปัตตานี,6.754756522,101.3603391
พระนครศรีอยุธยา,14.37378261,100.531913
พะเยา,19.28782609,100.094029
พังงา,8.643742857,98.27682857
พัทลุง,7.543029851,100.0658358
พิจิตร,16.2582809,100.3574944
พิษณุโลก,16.87603191,100.3803617
เพชรบุรี,13.04403261,99.8751413
เพชรบูรณ์,16.27551724,101.1124655
แพร่,18.16184615,100.0986282
ภูเก็ต,7.891435897,98.36633333
มหาสารคาม,15.99183582,103.1869478
มุกดาหาร,16.53892453,104.5612642
แม่ฮ่องสอน,18.75397727,98.05331818
ยโสธร,15.83796203,104.3048734
ยะลา,6.382275862,101.2634483
ร้อยเอ็ด,15.93956771,103.8012396
ระนอง,9.836081967,98.57229508
ระยอง,12.77670149,101.418
ราชบุรี,13.60070192,99.797625
ลพบุรี,15.03269421,100.8014793
ลำปาง,18.34003093,99.50170103
ลำพูน,18.34647059,98.95884314
เลย,17.41151111,101.6448333
ศรีสะเกษ,14.93913725,104.328348
สกลนคร,17.398032,103.829976
สงขลา,7.117035971,100.5191367
สตูล,6.697966292,99.73135955
สมุทรปราการ,13.61818,100.65864
สมุทรสงคราม,13.43030556,99.95522222
สมุทรสาคร,13.586675,100.2175
สระแก้ว,13.72594915,102.3390508
สระบุรี,14.55821101,100.8909541
สิงห์บุรี,14.88734884,100.3588372
สุโขทัย,17.1564186,99.79468605
สุพรรณบุรี,14.53968807,100.0094679
สุราษฎร์ธานี,9.227528796,99.40158115
สุรินทร์,14.93401258,103.6706478
หนองคาย,17.91533871,102.7967419
หนองบัวลำภู,17.1790339,102.3119153
อ่างทอง,14.61310959,100.3824384
อำนาจเจริญ,15.85805357,104.7069464
อุดรธานี,17.40798065,102.8877548
อุตรดิตถ์,17.63947761,100.3270299
อุทัยธานี,15.37104348,99.7926087
อุบลราชธานี,15.27466364,105.0234136